"key","name","level","hasData","fields"
"1000010","Tanger-Tetouan-Al Hoceima","0","TRUE","1"
"1000020","Province: Al Hoceima","0","TRUE","01.051."
"1000030","Al Hoceima (Mun.)","0","TRUE","01.051.01.01."
"1000040","Bni Bouayach (Mun.)","0","TRUE","01.051.01.03."
"1000050","Imzouren (Mun.)","0","TRUE","01.051.01.05."
"1000060","Targuist (Mun.)","0","TRUE","01.051.01.07."
"1000070","Ajdir (Mun.)","0","TRUE","01.051.01.09."
"1000080","Cercle : Bni Boufrah","0","TRUE","01.051.03."
"1000090","Bni Boufrah","0","TRUE","01.051.03.01."
"1000100","Bni Gmil","0","TRUE","01.051.03.03."
"1000110","Bni Gmil Maksouline","0","TRUE","01.051.03.05."
"1000120","Senada","0","TRUE","01.051.03.07."
"1000130","Cercle : Bni Ouriaghel","0","TRUE","01.051.05."
"1000140","Ait Kamra","0","TRUE","01.051.05.01."
"1000150","Ait Youssef Ou Ali","0","TRUE","01.051.05.03."
"1000160","Dont Centre: Sidi Bouafif","0","TRUE","01.051.05.03.4."
"1000170","Arbaa Taourirt","0","TRUE","01.051.05.05."
"1000180","Bni Abdallah","0","TRUE","01.051.05.07."
"1000190","Bni Hadifa","0","TRUE","01.051.05.09."
"1000200","Dont Centre: Bni Hadifa","0","TRUE","01.051.05.09.3."
"1000210","Chakrane","0","TRUE","01.051.05.11."
"1000220","Imrabten","0","TRUE","01.051.05.13."
"1000230","Dont Centre: Tamassint","0","TRUE","01.051.05.13.3."
"1000240","Izemmouren","0","TRUE","01.051.05.15."
"1000250","Louta","0","TRUE","01.051.05.17."
"1000260","Nekkour","0","TRUE","01.051.05.19."
"1000270","Rouadi","0","TRUE","01.051.05.21."
"1000280","Tifarouine","0","TRUE","01.051.05.23."
"1000290","Zaouiat Sidi Abdelkader","0","TRUE","01.051.05.25."
"1000300","Cercle : Targuist","0","TRUE","01.051.07."
"1000310","Bni Ahmed Imoukzan","0","TRUE","01.051.07.03."
"1000320","Bni Ammart","0","TRUE","01.051.07.05."
"1000330","Bni Bchir","0","TRUE","01.051.07.07."
"1000340","Bni Bounsar","0","TRUE","01.051.07.11."
"1000350","Sidi Boutmim","0","TRUE","01.051.07.19."
"1000360","Sidi Bouzineb","0","TRUE","01.051.07.21."
"1000370","Zarkt","0","TRUE","01.051.07.27."
"1000380","Cercle : Ketama","0","TRUE","01.051.09."
"1000390","Abdelghaya Souahel","0","TRUE","01.051.09.01."
"1000400","Bni Bouchibet","0","TRUE","01.051.09.09."
"1000410","Issaguen","0","TRUE","01.051.09.13."
"1000420","Dont Centre: Issaguen","0","TRUE","01.051.09.13.3."
"1000430","Ketama","0","TRUE","01.051.09.15."
"1000440","Moulay Ahmed Cherif","0","TRUE","01.051.09.17."
"1000450","Taghzout","0","TRUE","01.051.09.23."
"1000460","Tamsaout","0","TRUE","01.051.09.25."
"1000470","Province: Chefchaouen","0","TRUE","01.151."
"1000480","Chefchaouen (Mun.)","0","TRUE","01.151.01.01."
"1000490","Cercle : Bab Berred","0","TRUE","01.151.03."
"1000500","Bab Berred","0","TRUE","01.151.03.03."
"1000510","Dont Centre: Bab Berred","0","TRUE","01.151.03.03.3."
"1000520","Iounane","0","TRUE","01.151.03.13."
"1000530","Tamorot","0","TRUE","01.151.03.23."
"1000540","Cercle : Bab Taza","0","TRUE","01.151.05."
"1000550","Bab Taza","0","TRUE","01.151.05.01."
"1000560","Dont Centre: Bab Taza","0","TRUE","01.151.05.01.3."
"1000570","Bni Darkoul","0","TRUE","01.151.05.03."
"1000580","Bni Faghloum","0","TRUE","01.151.05.05."
"1000590","Bni Salah","0","TRUE","01.151.05.07."
"1000600","Derdara","0","TRUE","01.151.05.09."
"1000610","Fifi","0","TRUE","01.151.05.11."
"1000620","Laghdir","0","TRUE","01.151.05.13."
"1000630","Tanaqoub","0","TRUE","01.151.05.15."
"1000640","Cercle : Bni Ahmed","0","TRUE","01.151.06."
"1000650","Bni Ahmed Cherqia","0","TRUE","01.151.06.05."
"1000660","Bni Ahmed Gharbia","0","TRUE","01.151.06.07."
"1000670","Mansoura","0","TRUE","01.151.06.15."
"1000680","Oued Malha","0","TRUE","01.151.06.21."
"1000690","Cercle : Bou Ahmed","0","TRUE","01.151.07."
"1000700","Bni Bouzra","0","TRUE","01.151.07.01."
"1000710","Bni Mansour","0","TRUE","01.151.07.03."
"1000720","Bni Selmane","0","TRUE","01.151.07.05."
"1000730","Steha","0","TRUE","01.151.07.07."
"1000740","Talambote","0","TRUE","01.151.07.09."
"1000750","Tassift","0","TRUE","01.151.07.11."
"1000760","Tizgane","0","TRUE","01.151.07.13."
"1000770","Cercle : Jebha","0","TRUE","01.151.09."
"1000780","Amtar","0","TRUE","01.151.09.01."
"1000790","Bni Rzine","0","TRUE","01.151.09.09."
"1000800","Bni Smih","0","TRUE","01.151.09.11."
"1000810","M'tioua","0","TRUE","01.151.09.17."
"1000820","Dont Centre: Jebha","0","TRUE","01.151.09.17.3."
"1000830","Ouaouzgane","0","TRUE","01.151.09.19."
"1000840","Province: Fahs-Anjra","0","TRUE","01.227."
"1000850","Cercle : Anjra","0","TRUE","01.227.03."
"1000860","Anjra","0","TRUE","01.227.03.05."
"1000870","Jouamaa","0","TRUE","01.227.03.11."
"1000880","Ksar El Majaz","0","TRUE","01.227.03.13."
"1000890","Taghramt","0","TRUE","01.227.03.21."
"1000900","Cercle : Fahs","0","TRUE","01.227.05."
"1000910","Al Bahraoyine","0","TRUE","01.227.05.01."
"1000920","Ksar Sghir","0","TRUE","01.227.05.05."
"1000930","Malloussa","0","TRUE","01.227.05.09."
"1000940","Province: Larache","0","TRUE","01.331."
"1000950","Ksar El Kebir (Mun.)","0","TRUE","01.331.01.01."
"1000960","Larache (Mun.)","0","TRUE","01.331.01.03."
"1000970","Cercle : Loukouss","0","TRUE","01.331.07."
"1000980","Bou Jedyane","0","TRUE","01.331.07.01."
"1000990","Ksar Bjir","0","TRUE","01.331.07.03."
"1001000","Laouamra","0","TRUE","01.331.07.05."
"1001010","Dont Centre: Laouamra","0","TRUE","01.331.07.05.3."
"1001020","Souk L'Qolla","0","TRUE","01.331.07.11."
"1001030","Tatoft","0","TRUE","01.331.07.15."
"1001040","Zouada","0","TRUE","01.331.07.17."
"1001050","Cercle : Moulay Abdeslem-Ben M'chich","0","TRUE","01.331.09."
"1001060","Ayacha","0","TRUE","01.331.09.01."
"1001070","Bni Arouss","0","TRUE","01.331.09.03."
"1001080","Bni Garfett","0","TRUE","01.331.09.05."
"1001090","Tazroute","0","TRUE","01.331.09.13."
"1001100","Zaaroura","0","TRUE","01.331.09.15."
"1001110","Cercle : Oued El Makhazine","0","TRUE","01.331.11."
"1001120","Oulad Ouchih","0","TRUE","01.331.11.03."
"1001130","Rissana Chamalia","0","TRUE","01.331.11.07."
"1001140","Rissana Janoubia","0","TRUE","01.331.11.09."
"1001150","Sahel","0","TRUE","01.331.11.11."
"1001160","Dont Centre: Khemis Sahel","0","TRUE","01.331.11.11.3."
"1001170","Souaken","0","TRUE","01.331.11.12."
"1001180","Souk Tolba","0","TRUE","01.331.11.13."
"1001190","Province: Ouezzane","0","TRUE","01.405."
"1001200","Ouezzane (Mun.)","0","TRUE","01.405.01.09."
"1001210","Cercle : Ouezzane","0","TRUE","01.405.07."
"1001220","Bni Quolla","0","TRUE","01.405.07.01."
"1001230","Lamjaara","0","TRUE","01.405.07.03."
"1001240","Dont Centre: Ain Dorij","0","TRUE","01.405.07.03.3."
"1001250","Masmouda","0","TRUE","01.405.07.05."
"1001260","Mzefroune","0","TRUE","01.405.07.07."
"1001270","Ounnana","0","TRUE","01.405.07.09."
"1001280","Sidi Ahmed Cherif","0","TRUE","01.405.07.11."
"1001290","Sidi Bousber","0","TRUE","01.405.07.13."
"1001300","Sidi Redouane","0","TRUE","01.405.07.15."
"1001310","Teroual","0","TRUE","01.405.07.17."
"1001320","Zghira","0","TRUE","01.405.07.19."
"1001330","Cercle : Moqrisset","0","TRUE","01.405.09."
"1001340","Ain Beida","0","TRUE","01.405.09.01."
"1001350","Asjen","0","TRUE","01.405.09.03."
"1001360","Brikcha","0","TRUE","01.405.09.05."
"1001370","Dont Centre: Brikcha","0","TRUE","01.405.09.05.3."
"1001380","Moqrisset","0","TRUE","01.405.09.09."
"1001390","Dont Centre: Moqrisset","0","TRUE","01.405.09.09.3."
"1001400","Cercle : Zoumi","0","TRUE","01.405.11."
"1001410","Kalaat Bouqorra","0","TRUE","01.405.11.07."
"1001420","Zoumi","0","TRUE","01.405.11.11."
"1001430","Dont Centre: Zoumi","0","TRUE","01.405.11.11.3."
"1001440","Préfecture: Tanger-Assilah","0","TRUE","01.511."
"1001450","Assilah (Mun.)","0","TRUE","01.511.01.01."
"1001460","Bni Makada (Arrond.)","0","TRUE","01.511.01.03."
"1001470","Charf-Mghogha (Arrond.)","0","TRUE","01.511.01.05."
"1001480","Charf-Souani (Arrond.)","0","TRUE","01.511.01.06."
"1001490","Tanger-Médina (Arrond.)","0","TRUE","01.511.01.07."
"1001500","Gueznaia (Mun.)","0","TRUE","01.511.01.09."
"1001510","Cercle : Assilah","0","TRUE","01.511.03."
"1001520","Al Manzla","0","TRUE","01.511.03.01."
"1001530","Aquouass Briech","0","TRUE","01.511.03.03."
"1001540","Sebt Azzinate","0","TRUE","01.511.03.05."
"1001550","Dar Chaoui","0","TRUE","01.511.03.07."
"1001560","Dont Centre: Dar Chaoui","0","TRUE","01.511.03.07.3."
"1001570","Sahel Chamali","0","TRUE","01.511.03.11."
"1001580","Sidi Lyamani","0","TRUE","01.511.03.13."
"1001590","Dont Centre: Tnine Sidi Lyamani","0","TRUE","01.511.03.13.3."
"1001600","Had Al Gharbia","0","TRUE","01.511.03.15."
"1001610","Laaouama","0","TRUE","01.511.03.17."
"1001620","Cercle : -","0","TRUE","01.511.81."
"1001630","HJAR ENNHAL","0","TRUE","01.511.81.05."
"1001640","Province: Tétouan","0","TRUE","01.571."
"1001650","Oued Laou (Mun.)","0","TRUE","01.571.01.07."
"1001660","Tétouan (Mun.)","0","TRUE","01.571.01.11."
"1001670","Cercle : Jebala","0","TRUE","01.571.03."
"1001680","Ain Lahsan","0","TRUE","01.571.03.01."
"1001690","AL Kharroub","0","TRUE","01.571.03.03."
"1001700","Bghaghza","0","TRUE","01.571.03.05."
"1001710","Bni Harchen","0","TRUE","01.571.03.07."
"1001720","Jbel Lahbib","0","TRUE","01.571.03.09."
"1001730","Dont Centre: Karia","0","TRUE","01.571.03.09.3."
"1001740","Bni Idder","0","TRUE","01.571.03.11."
"1001750","Mallalienne","0","TRUE","01.571.03.15."
"1001760","Saddina","0","TRUE","01.571.03.17."
"1001770","Souk Kdim","0","TRUE","01.571.03.19."
"1001780","Sahtryine","0","TRUE","01.571.03.21."
"1001790","Cercle : Tétouan","0","TRUE","01.571.05."
"1001800","Al Hamra","0","TRUE","01.571.05.01."
"1001810","Al Oued","0","TRUE","01.571.05.05."
"1001820","Azla","0","TRUE","01.571.05.07."
"1001830","Bni Leit","0","TRUE","01.571.05.13."
"1001840","Bni Said","0","TRUE","01.571.05.15."
"1001850","Dar Bni Karrich","0","TRUE","01.571.05.17."
